0,1,2,3
Forsyth County,NC,101-500,This organization did not respond to a request for comment.
Franklin County Sheriff’s Office,NC,51-100,This organization did not respond to a request for comment.
Garner Police Department,NC,11-50,This organization did not respond to a request for comment.
Goldsboro Police Department,NC,51-100,This organization did not respond to a request for comment.
Greensboro Police Department,NC,11-50,"“The Greensboro Police Department does not use, or have plans to purchase Clearview AI software. We do not currently use any facial recognition software. We are familiar with the product but at no time considered purchasing the product for use in our department.” —Ronald Glenn, public information officer"
Greenville Police Department,NC,51-100,This organization did not respond to a request for comment.
Guilford County Sheriff’s Office,NC,11-50,This organization did not respond to a request for comment.
Henderson County Sheriff’s Office,NC,101-500,This organization did not respond to a request for comment.
High Point Police Department,NC,51-100,"“We do not and have not had that system.” —Lt. Matt Truitt, public information officer"
Huntersville Police Department,NC,11-50,This organization did not respond to a request for comment.
Iredell Police Department,NC,51-100,This organization did not respond to a request for comment.
Jacksonville Police Department,NC,101-500,This organization did not respond to a request for comment.
Kernersville Police Department,NC,1-5,This organization did not respond to a request for comment.
Knightdale Police Department,NC,11-50,"“To date, our agency has used the tool to generate leads in several cases where the suspect is unknown. As required by the user agreement, and in accordance with established department expectations, the use of Clearview is intended to serve as an investigative tool and leads generator. It does not constitute probable cause for immediate charges against a suspected person, nor does it absolve investigators from independently verifying search results. Additionally, search results are not admissible as evidence...No arrests have been made as a direct result of searches conducted using Clearview AI.” —Lawrence Capps, police chief"
Lincoln County Sheriff’s Office,NC,1-5,This organization did not respond to a request for comment.
Madison Police Department,NC,101-500,This organization did not respond to a request for comment.
Mayodan Police Department,NC,11-50,This organization did not respond to a request for comment.
Mecklenburg County Alcoholic Beverage Control Law Enforcement,NC,501-1000,This organization did not respond to a request for comment.
Monroe Police Department,NC,101-500,This organization did not respond to a request for comment.
Moore County Sheriff’s Office,NC,101-500,"“We did a trial period with the tool, but we never purchased it. During the trial period, we used it briefly for intelligence purposes to assist identify people through photos from sources such as social media posts or from surveillance videos at established businesses. Although it appears that the access to the tool is still available to us, this agency is not actively using it on a regular basis. And to my knowledge, no arrests were ever made by this agency relating to an identification using Clearview AI.” —Lt. Bradley Whitaker"
Mooresville Police Department,NC,501-1000,This organization did not respond to a request for comment.
New Hanover County Sheriff’s Office,NC,11-50,"“I have checked with staff and [they] are not familiar.” —Lachlan MacNeish, deputy sheriff"
North Carolina Department of Motor Vehicles: License & Theft Bureau,NC,51-100,This organization did not respond to a request for comment.
North Carolina Department of Revenue: Criminal Investigations,NC,11-50,This organization did not respond to a request for comment.
North Carolina Wildlife Resources Commission,NC,101-500,This organization did not respond to a request for comment.
Pinehurst Police Department,NC,11-50,This organization did not respond to a request for comment.
Raeford Police Department,NC,6-10,This organization did not respond to a request for comment.
